Geo;Year;Percentage of Women in Academy;Gender Pay Gap Percentage
AT;2018 ;53.00062892355982;20.4
BE;2018 ;55.9176889847019;5.8
BG;2018 ;53.830422784255994;13.9
CH;2018 ;49.763050724063895;18.3
CY;2018 ;52.09828090186218;10.4
DE;2018 ;50.010358954294055;20.1
DK;2018 ;56.83388863871802;14.6
EE;2018 ;58.707260633026934;21.8
EL;2018 ;48.67003492296856;10.4
ES;2018 ;53.00287944915924;11.9
FI;2018 ;53.085313051973124;16.9
HR;2018 ;57.027759520873175;11.4
HU;2018 ;53.90286281243426;14.2
IS;2018 ;63.56917640467999;13.8
IT;2018 ;55.19662839845844;5.5
LT;2018 ;56.44684248821189;14.0
LU;2018 ;51.937807827198945;1.4
LV;2018 ;58.1381411218549;19.6
MT;2018 ;56.675504952039304;13.0
NL;2018 ;51.77982507307165;14.7
NO;2018 ;56.07155830663984;13.2
PL;2018 ;59.56302294444896;8.5
PT;2018 ;53.016033362826356;8.9
RO;2018 ;54.33553510064763;2.2
RS;2018 ;56.524535558971756;9.6
SE;2018 ;59.79471956793873;12.1
SI;2018 ;56.927521545739324;9.3
SK;2018 ;59.223732499898986;19.8
UK;2018 ;56.83022632369668;19.8
AT;2017 ;52.886949720631726;20.7
BE;2017 ;55.87832218193736;5.8
BG;2017 ;53.83457940243234;14.3
CY;2017 ;52.88505055560584;11.2
DE;2017 ;49.67852217011605;20.4
DK;2017 ;56.547386952998714;14.8
EE;2017 ;58.821864792315736;24.9
ES;2017 ;52.784473280657515;13.5
FI;2017 ;53.159259218184964;17.1
FR;2017 ;53.946234109877224;16.3
HR;2017 ;56.72897215953746;12.3
IS;2017 ;63.82764816610575;15.3
LT;2017 ;56.583288619733906;15.2
LU;2017 ;50.81194867682438;2.6
LV;2017 ;57.97996367805911;19.8
MT;2017 ;56.45237837522793;13.2
NL;2017 ;51.95125889009914;15.1
NO;2017 ;58.390530436265976;13.7
PL;2017 ;59.26815102347109;7.0
PT;2017 ;52.83429473688014;10.8
SE;2017 ;59.24245919603207;12.5
SI;2017 ;55.18204220566248;8.4
SK;2017 ;59.451544888981445;20.1
UK;2017 ;56.587039520832136;20.8
AT;2016 ;53.051489422938545;20.8
BE;2016 ;56.088184518800055;6.0
BG;2016 ;53.94241680969941;14.6
CY;2016 ;54.04980120358914;12.3
DE;2016 ;49.40166183379343;21.1
DK;2016 ;56.494332447452386;15.1
EE;2016 ;58.714423171133056;24.8
ES;2016 ;52.785730318658096;14.8
FI;2016 ;53.29531051964512;17.5
FR;2016 ;53.74584882795482;15.9
HR;2016 ;57.5230491247285;11.6
HU;2016 ;54.40391677075224;14.0
IS;2016 ;64.01004209635697;15.8
LT;2016 ;56.922838196576805;14.4
LU;2016 ;51.11408029522173;3.9
LV;2016 ;59.206607745960504;19.7
MT;2016 ;54.61740744560173;11.6
NL;2016 ;51.95941175140315;15.6
NO;2016 ;58.28495385647362;14.5
PL;2016 ;59.23200588596422;7.1
PT;2016 ;52.762499420701594;13.9
SE;2016 ;59.08415977285777;13.3
